"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Oct 2023 12:43:13.910,1 Oct 2023 12:48:29.517,315.607
1 Oct 2023 12:44:15.502,1 Oct 2023 12:49:18.616,303.114
1 Oct 2023 12:44:33.174,1 Oct 2023 12:46:39.922,126.748
1 Oct 2023 12:46:26.263,1 Oct 2023 12:53:37.933,431.670
1 Oct 2023 12:47:59.075,1 Oct 2023 12:49:34.035,94.960
1 Oct 2023 12:48:13.206,1 Oct 2023 12:49:22.344,69.138
1 Oct 2023 12:48:18.500,1 Oct 2023 12:49:18.099,59.598
1 Oct 2023 12:48:19.598,1 Oct 2023 12:49:24.534,64.936
1 Oct 2023 12:48:34.536,1 Oct 2023 12:56:21.658,467.122
1 Oct 2023 12:49:56.336,1 Oct 2023 12:52:31.586,155.249
1 Oct 2023 12:50:24.803,1 Oct 2023 12:55:40.786,315.983
1 Oct 2023 12:52:10.643,1 Oct 2023 13:00:15.560,484.917
1 Oct 2023 12:56:07.503,1 Oct 2023 13:03:34.628,447.126
1 Oct 2023 12:57:04.108,1 Oct 2023 13:05:20.506,496.398
1 Oct 2023 12:57:16.785,1 Oct 2023 12:59:55.460,158.674
1 Oct 2023 12:57:43.464,1 Oct 2023 13:04:12.301,388.837
1 Oct 2023 12:58:14.276,1 Oct 2023 13:06:10.235,475.959
1 Oct 2023 12:59:46.143,1 Oct 2023 13:05:54.803,368.660
1 Oct 2023 13:00:49.896,1 Oct 2023 13:06:26.314,336.418
1 Oct 2023 13:01:19.852,1 Oct 2023 13:09:04.907,465.055
1 Oct 2023 13:03:16.085,1 Oct 2023 13:08:32.948,316.863
1 Oct 2023 13:04:01.883,1 Oct 2023 13:10:31.171,389.288
1 Oct 2023 13:04:51.428,1 Oct 2023 13:12:52.131,480.703
1 Oct 2023 13:04:51.428,1 Oct 2023 13:12:52.131,480.703
1 Oct 2023 13:05:56.842,1 Oct 2023 13:10:50.623,293.781
1 Oct 2023 13:06:32.956,1 Oct 2023 13:12:34.346,361.389
1 Oct 2023 13:06:34.085,1 Oct 2023 13:12:20.893,346.809
